Field name,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace free gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]","Orig. recoverable NGL 
[mill tonn]","Orig. recoverable cond. 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]","Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]","Remaining cond.  
[mill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",Avg Core Photos,Completion logs,# of Wells,Exp start year,Exp start month,Dev start year,Dev start month,Dev end year,Dev end month,Exp Duration,Dev Duration
ALBUSKJELL,0,64,0.0,56,0.99,0.0,24.761,0.0,0.0,0.0,0.0,0.0,0,0,26,1972,7,1978,6,1986,6,71,96
ALVE,3,1,13.5,3,1.41,0.0,14.149,0.34,2.1,0.28,0.0,2.972,0,0,8,1990,5,2009,1,2016,7,224,90
ALVHEIM,0,10,11.69,109,0.0,0.0,61.85,9.31,4.2,0.0,0.0,13.51,0,0,15,1974,10,2006,5,2019,9,379,160
ATLA,0,0,1.88,0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0,0,5,2010,8,2012,6,2012,6,22,0
BALDER,0,14,0.0,263,0.0,0.0,110.12,36.18,1.24,0.0,0.0,37.42,0,0,7,1970,4,1996,5,2016,4,313,239
BAUGE,0,6,0.0,20,0.97,0.0,11.663,7.94,1.88,0.97,0.0,11.663,0,0,1,2013,9,2013,12,0,0,3,0
BLANE,0,0,0.0,3,0.0,0.0,0.9,0.08,0.0,0.0,0.0,0.08,0,0,3,1989,3,1989,6,0,0,3,0
BRAGE,13,16,4.8,158,1.38,0.0,69.242,3.05,0.3,0.09,0.0,3.521,0,0,2,1979,12,1991,12,2020,2,144,338
BRYNHILD,0,0,0.0,6,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0,0,4,1992,1,2013,6,2014,6,257,12
BYRDING,0,1,0.62,7,0.08,0.0,1.952,0.39,0.5,0.05,0.0,0.985,0,0,17,2005,3,2017,2,2017,6,143,4
BÃ˜YLA,0,1,0.0,7,0.0,0.0,2.8,0.51,0.01,0.0,0.0,0.52,0,0,1,2009,9,2014,4,2015,3,55,11
COD,0,11,0.0,5,0.52,0.0,11.148,0.0,0.0,0.0,0.0,0.0,0,0,13,1968,2,1976,8,1985,8,102,108
DRAUGEN,0,12,0.0,224,2.64,0.0,157.866,9.41,0.0,0.02,0.0,9.448,47,4,4,1984,6,1993,4,2019,10,106,318
DUVA,1,2,10.6,15,1.03,0.0,14.047,3.7,8.39,1.03,0.0,14.047,0,0,2,2016,7,2019,11,2020,1,40,2
DVALIN,1,0,25.45,0,0.23,0.42,18.807,0.0,17.95,0.23,0.42,18.807,0,0,3,2010,6,2019,8,2019,12,110,4
EDDA,0,5,0.0,16,0.21,0.0,7.199,0.0,0.0,0.0,0.0,0.0,0,0,12,1972,6,1979,3,1980,9,81,18
EDVARD GRIEG,0,10,0.0,83,1.11,0.0,48.179,22.7,2.05,0.61,0.0,25.909,0,0,1,2007,9,2014,10,2018,6,85,44
EKOFISK,0,301,0.0,1134,16.06,0.0,733.274,62.99,8.08,1.36,0.0,73.654,0,0,433,1969,9,1970,1,2020,1,4,600
ELDFISK,0,119,0.0,439,4.81,0.0,191.389,21.48,2.46,0.34,0.0,24.586,0,0,190,1970,8,1978,5,2020,1,93,500
EMBLA,0,17,0.0,49,0.65,0.0,19.155,0.61,0.6,0.08,0.0,1.362,0,0,12,1973,12,1991,3,2005,10,207,175
ENOCH,0,0,0.0,2,0.0,0.0,0.38,0.03,0.0,0.0,0.0,0.03,0,0,1,1991,6,1991,7,0,0,1,0
FENJA,1,4,3.37,23,0.57,0.0,15.363,10.9,3.38,0.57,0.0,15.363,0,0,4,2014,1,2014,7,0,0,6,0
FLYNDRE,0,0,0.0,2,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.05,0,0,2,1973,10,1974,4,0,0,6,0
FRAM,3,15,18.33,101,1.69,0.0,63.021,5.54,10.45,1.04,0.0,17.966,0,0,12,1990,8,2002,7,2019,9,143,206
FRAM H-NORD,0,1,0.4,6,0.0,0.0,0.7,0.08,0.0,0.0,0.0,0.08,0,0,1,2007,4,2013,12,2014,6,80,6
FRIGG,1,0,150.2,0,0.0,0.46,116.63,0.0,0.0,0.0,0.0,0.0,0,0,54,1971,3,1976,11,1990,1,68,158
FRÃ˜Y,0,6,0.0,27,0.0,0.11,7.27,0.0,0.0,0.0,0.0,0.0,0,0,1,1987,5,1993,5,1996,2,72,33
GAUPE,1,2,3.1,11,0.03,0.02,0.767,0.0,0.0,0.0,0.0,0.0,0,0,9,1984,11,2011,4,2011,6,317,2
GIMLE,1,2,1.0,7,0.18,0.0,4.192,0.0,0.0,0.0,0.0,0.0,0,0,3,2001,11,2004,12,2014,4,37,112
GINA KROG,11,5,19.8,24,2.58,0.0,33.202,9.18,12.44,2.2,0.0,25.8,0,0,24,1971,9,2015,8,2019,5,527,45
GJÃ˜A,13,10,54.01,52,9.89,0.0,75.371,2.6,9.96,2.25,0.0,16.835,0,0,4,1989,4,2009,1,2020,2,237,133
GLITNE,0,0,1.2,20,0.0,0.0,8.88,0.0,0.0,0.0,0.0,0.0,0,0,17,1995,8,2000,10,2012,6,62,140
GOLIAT,0,10,9.76,90,0.0,0.0,31.6,20.13,0.0,0.0,0.0,20.13,0,0,19,2000,9,2013,1,2018,7,148,66
GRANE,0,3,0.0,220,0.0,0.0,150.41,25.83,0.0,0.0,0.0,25.83,0,0,1,1991,11,2001,9,2020,1,118,220
GUDRUN,19,18,22.69,48,2.1,0.0,44.91,9.09,7.72,0.88,0.0,18.482,0,0,18,1974,11,2011,10,2020,3,443,101
GULLFAKS,0,84,0.0,745,2.83,0.0,415.517,16.46,0.0,0.0,0.0,16.46,0,0,8,1978,6,1985,8,2020,2,86,414
GULLFAKS SÃ˜R,47,37,136.04,171,12.31,0.0,180.099,9.16,29.35,4.01,0.0,46.129,0,0,18,1978,9,1997,4,2018,11,223,259
GUNGNE,15,0,19.62,0,2.19,4.47,24.731,0.1,0.44,0.05,0.0,0.635,0,0,2,1982,5,1995,5,2005,8,156,123
GYDA,9,18,0.0,90,1.6,0.0,45.51,0.01,0.0,0.0,0.0,0.01,0,0,67,1979,11,1987,11,2013,8,96,309
HANZ,0,1,0.27,5,0.06,0.0,2.764,2.29,0.36,0.06,0.0,2.764,0,0,1,1997,2,2018,8,0,0,258,0
HEIDRUN,8,36,51.7,432,2.0,0.0,249.25,35.41,24.18,1.28,0.0,62.022,180,2,10,1985,2,1992,10,2020,2,92,328
HEIMDAL,0,0,61.4,11,0.0,0.0,52.9,0.0,0.01,0.0,0.0,0.01,0,0,2,1972,7,1985,6,2016,1,155,367
HOD,2,7,0.0,53,0.46,0.0,12.814,0.5,0.06,0.01,0.0,0.579,0,0,13,1974,11,1990,7,2006,2,188,187
HULDRA,9,0,22.7,0,0.11,0.0,22.759,0.0,0.0,0.0,0.0,0.0,0,0,1,1979,6,2000,8,2002,4,254,20
HYME,0,1,0.0,6,0.3,0.0,4.58,1.3,0.56,0.2,0.0,2.24,0,0,2,2009,5,2012,4,2013,2,35,10
ISLAY,0,0,0.21,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0,1,1976,7,0,0,0,0,0,0
IVAR AASEN,0,7,2.36,47,0.68,0.0,29.002,15.45,2.38,0.4,0.0,18.59,0,0,9,2004,4,2015,8,2019,8,136,48
JETTE,0,0,0.0,3,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0,0,2,2009,10,2012,5,2012,10,31,5
JOHAN CASTBERG,0,0,0.0,175,0.0,0.0,88.9,88.9,0.0,0.0,0.0,88.9,0,0,23,2011,2,2014,5,0,0,39,0
JOHAN SVERDRUP,0,23,0.0,615,4.5,0.0,425.38,402.86,10.12,4.45,0.0,421.435,0,0,2,2010,7,2016,3,2020,3,68,48
JOTUN,0,2,0.4,44,0.0,0.0,24.02,0.0,0.0,0.0,0.0,0.0,0,0,4,1995,7,2000,1,2000,2,54,1
KNARR,0,4,0.0,32,0.59,0.0,11.351,1.71,0.03,0.06,0.0,1.854,0,0,2,2008,4,2013,7,2014,10,63,15
KRISTIN,0,0,71.5,70,6.13,2.1,66.837,1.81,3.43,0.75,0.0,6.665,0,0,5,1996,8,2003,8,2015,8,84,144
KVITEBJÃ˜RN,84,0,172.0,0,10.36,0.0,151.124,4.16,21.8,1.77,0.0,29.323,0,0,2,1994,7,2003,12,2016,12,113,156
LILLE-FRIGG,0,7,0.0,4,0.0,0.02,3.54,0.0,0.0,0.0,0.0,0.0,0,0,2,1975,5,1992,2,1993,8,201,18
MARIA,0,6,0.0,37,0.45,0.0,10.175,6.98,0.6,0.35,0.0,8.245,0,0,8,2010,5,2017,3,2018,2,82,11
MARTIN LINGE,10,1,37.96,22,2.17,0.0,41.683,11.14,26.42,2.17,0.0,41.683,0,0,6,1975,8,2009,9,2019,12,409,123
MARULK,2,0,13.11,0,0.72,0.0,9.748,0.1,1.65,0.15,0.0,2.035,0,0,2,1991,10,2011,10,2019,8,240,94
MIKKEL,19,4,42.7,0,8.4,2.23,56.94,1.34,7.08,1.71,0.0,11.669,68,1,3,1986,12,2002,10,2003,1,190,3
MIME,0,2,0.0,7,0.01,0.0,0.469,0.0,0.0,0.0,0.0,0.0,0,0,1,1969,7,2007,6,0,0,455,0
MORVIN,0,16,0.0,36,1.03,0.0,15.407,0.78,0.57,0.16,0.0,1.654,0,0,1,2001,1,2009,10,2011,5,105,19
MURCHISON,0,3,0.0,27,0.32,0.0,14.818,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
NJORD,9,35,17.01,132,6.16,0.0,66.894,4.84,13.51,3.84,0.0,25.646,346,3,9,1985,10,1996,9,2011,3,131,174
NORDÃ˜ST FRIGG,0,0,35.1,0,0.0,0.04,11.64,0.0,0.0,0.0,0.0,0.0,0,0,2,1974,4,1981,12,1983,6,92,18
NORNE,2,18,11.5,157,1.65,0.0,111.165,3.85,4.85,0.66,0.0,9.954,0,0,2,1991,10,1996,9,2019,4,59,271
NOVA,0,6,2.24,29,0.66,0.0,12.524,9.13,2.14,0.66,0.0,12.524,0,0,1,2012,2,2014,1,0,0,23,0
ODA,0,1,0.0,9,0.0,0.0,5.19,4.5,0.12,0.0,0.0,4.62,0,0,6,2011,8,2018,7,2018,10,83,3
ODIN,0,0,37.3,13,0.0,0.12,27.42,0.0,0.0,0.0,0.0,0.0,0,0,14,1973,12,1983,12,1985,1,120,13
ORMEN LANGE,36,0,403.92,0,0.0,18.85,319.62,0.0,81.75,0.0,3.8,85.55,0,0,7,1997,7,2005,11,2015,4,100,113
OSEBERG,36,93,116.48,676,15.8,0.0,545.54,13.93,62.66,4.56,0.0,85.254,0,0,13,1979,6,1985,9,2020,2,75,413
OSEBERG SÃ˜R,1,34,13.8,226,2.52,0.0,97.278,11.5,13.13,1.11,0.0,26.739,0,0,14,1990,7,1999,2,2019,8,103,246
OSEBERG Ã˜ST,0,6,0.0,73,0.1,0.0,24.33,1.57,0.02,0.03,0.0,1.647,0,0,3,1981,6,1998,11,2018,4,209,233
OSELVAR,4,2,2.31,7,0.02,0.0,1.118,0.0,0.0,0.0,0.0,0.0,0,0,4,1991,3,2012,3,2012,5,252,2
REV,2,0,3.6,0,0.05,0.0,3.565,0.01,0.01,0.0,0.0,0.02,0,0,3,2000,12,2006,2,2012,8,62,78
RINGHORNE Ã˜ST,0,2,0.0,29,0.0,0.0,16.72,3.66,0.0,0.0,0.0,3.66,0,0,2,2003,8,2006,1,2012,7,29,78
SIGYN,24,3,6.4,0,2.8,6.06,19.5,0.07,0.16,0.04,0.0,0.306,0,0,7,1982,10,2002,1,2016,6,231,173
SINDRE,1,2,0.93,6,0.01,0.0,0.069,0.0,0.03,0.01,0.0,0.049,0,0,1,2017,2,2017,4,2017,4,2,0
SKARV,0,6,48.07,40,3.89,0.0,60.251,4.34,14.29,1.59,0.0,21.651,0,0,1,1998,12,2010,7,2011,12,139,17
SKIRNE,0,0,14.72,5,0.0,0.0,13.1,0.07,0.34,0.0,0.0,0.41,0,0,3,1990,1,2003,2,2003,4,157,2
SKOGUL,0,0,0.0,3,0.0,0.0,1.56,1.42,0.14,0.0,0.0,1.56,0,0,1,2010,4,2019,7,2020,1,111,6
SKULD,0,2,0.2,23,0.05,0.0,6.265,1.48,0.0,0.0,0.0,1.48,0,0,2,2008,10,2013,7,2016,5,57,34
SLEIPNER VEST,79,0,185.11,0,10.58,29.74,202.212,1.58,8.08,0.63,0.0,10.857,0,0,8,1974,9,1995,9,2018,1,252,268
SLEIPNER Ã˜ST,77,0,90.7,0,13.41,26.62,120.989,0.06,0.27,0.03,0.0,0.387,0,0,2,1981,5,1992,10,2009,3,137,197
SNORRE,0,64,0.0,601,4.76,0.0,327.084,90.06,0.0,0.0,0.0,90.06,0,0,8,1979,7,1990,9,2020,3,134,354
SNÃ˜HVIT,41,11,347.3,0,8.45,24.26,256.365,0.0,154.68,5.5,15.85,180.98,0,0,10,1981,6,2004,12,2020,2,282,182
SOLVEIG,0,4,0.91,23,0.42,0.0,9.218,6.98,1.44,0.42,0.0,9.218,0,0,4,2013,3,2018,4,0,0,61,0
STATFJORD,0,154,0.0,860,22.64,0.81,703.806,3.09,4.06,1.26,0.0,9.544,0,0,1,1973,12,1979,1,2019,12,61,491
STATFJORD NORD,0,5,0.0,73,1.09,0.0,44.431,1.76,0.1,0.04,0.0,1.936,0,0,1,1976,11,1994,9,2016,10,214,265
STATFJORD Ã˜ST,0,9,0.0,65,2.13,0.0,45.897,0.29,0.13,0.05,0.0,0.515,0,0,1,1976,9,1993,7,2016,10,202,279
SVALIN,0,1,0.0,16,0.0,0.0,9.63,3.77,0.0,0.0,0.0,3.77,0,0,4,1992,6,2013,7,2014,8,253,13
SYGNA,0,1,0.0,21,0.0,0.0,11.33,0.63,0.0,0.0,0.0,0.63,0,0,2,1996,6,2000,1,2017,2,43,205
TAMBAR,2,8,0.0,32,0.55,0.0,15.955,1.29,0.33,0.03,0.0,1.677,0,0,8,1982,8,1998,5,2018,1,189,236
TAMBAR Ã˜ST,0,1,0.0,8,0.01,0.0,0.429,0.07,0.0,0.0,0.0,0.07,0,0,3,0,0,2007,3,2007,7,0,4
TOMMELITEN GAMMA,0,15,0.0,12,0.57,0.0,14.643,0.0,0.0,0.0,0.0,0.0,0,0,9,1977,8,1986,9,1988,4,109,19
TOR,0,40,0.0,151,1.42,0.0,48.398,9.18,1.21,0.23,0.0,10.827,0,0,33,1970,8,1977,2,2006,10,78,356
TORDIS,0,14,0.0,120,1.81,0.0,74.579,4.5,0.18,0.07,0.0,4.813,0,0,5,1987,10,1993,8,2017,1,70,281
TRESTAKK,0,6,0.0,28,0.23,0.0,11.927,10.02,0.78,0.23,0.0,11.237,293,1,1,1986,6,2018,11,2020,3,389,16
TROLL,86,38,1625.0,664,23.26,1.52,1768.224,11.49,753.3,12.09,0.0,787.761,0,0,3,1979,7,1989,9,2020,2,122,365
TRYM,4,0,6.2,0,0.0,0.0,6.26,0.12,0.71,0.0,0.0,0.83,0,0,5,1989,9,2010,9,2011,3,252,6
TUNE,11,0,22.3,2,0.14,0.0,22.536,0.02,0.2,0.0,0.0,0.22,0,0,4,1994,11,2001,8,2009,4,81,92
TYRIHANS,18,17,51.32,65,7.3,0.0,91.76,3.2,28.59,4.45,0.0,40.245,83,2,8,1982,11,2008,4,2018,12,305,128
ULA,6,15,0.0,179,3.05,0.0,91.625,6.29,0.0,0.09,0.0,6.461,0,0,50,1976,7,1986,7,2020,3,120,404
URD,0,2,0.0,31,0.04,0.0,9.266,1.7,0.0,0.0,0.0,1.7,0,0,11,2000,2,2004,10,2016,9,56,143
UTGARD,6,0,4.97,0,0.34,0.0,3.386,0.89,1.54,0.3,0.0,3.0,0,0,1,1981,7,2018,10,2018,12,447,2
VALE,10,0,8.3,0,0.0,0.0,5.26,0.34,0.51,0.0,0.0,0.85,0,0,1,1991,4,2001,5,2005,8,121,51
VALEMON,13,0,61.2,0,0.13,0.0,17.157,0.46,4.08,0.03,0.0,4.597,0,0,5,1985,5,2012,10,2017,10,329,60
VALHALL,20,77,0.0,435,5.7,0.0,200.36,41.49,7.36,1.01,0.0,50.769,0,0,205,1969,7,1981,11,2020,3,148,460
VARG,0,5,0.0,43,0.02,0.02,16.688,0.0,0.0,0.0,0.0,0.0,0,0,4,1984,9,1990,8,2013,3,71,271
VEGA,34,2,49.06,4,7.95,0.0,49.945,3.2,11.83,4.2,0.0,23.01,0,0,9,1980,7,2009,8,2013,7,349,47
VESLEFRIKK,3,17,3.81,121,1.83,0.0,64.477,0.52,0.28,0.08,0.0,0.952,0,0,6,1980,9,1987,7,2015,2,82,331
VEST EKOFISK,0,45,0.0,85,1.43,0.0,40.837,0.0,0.0,0.0,0.0,0.0,0,0,21,1970,8,1975,1,1993,5,53,220
VIGDIS,0,13,0.0,150,1.39,0.0,78.251,10.21,0.0,0.0,0.0,10.21,0,0,4,1986,2,1995,11,2016,5,117,246
VILJE,0,1,0.0,24,0.0,0.0,15.09,2.22,0.0,0.0,0.0,2.22,0,0,1,2003,9,2006,2,2014,3,29,97
VISUND,33,24,83.24,85,7.08,0.0,114.812,6.21,35.8,4.22,0.0,50.028,0,0,8,1985,11,1997,7,2020,3,140,272
VISUND SÃ˜R,4,3,9.0,13,0.84,0.0,10.286,0.12,0.93,0.14,0.0,1.316,0,0,2,2008,9,2011,9,2019,10,36,97
VOLUND,0,2,2.3,22,0.0,0.0,13.89,1.29,0.56,0.0,0.0,1.85,0,0,1,1993,12,2009,2,2017,5,182,99
VOLVE,0,3,0.0,19,0.16,0.09,11.504,0.0,0.0,0.0,0.0,0.0,0,0,1,1992,11,2007,6,2014,3,175,81
YME,0,3,0.0,55,0.0,0.0,19.44,11.53,0.0,0.0,0.0,11.53,0,0,35,1987,2,1993,12,2010,9,82,201
YTTERGRYTA,1,0,7.39,0,0.41,0.0,3.289,0.0,0.0,0.0,0.0,0.0,0,0,2,2007,5,2008,10,2008,10,17,0
Ã†RFUGL,0,0,63.0,13,4.15,0.0,50.825,4.65,31.61,3.52,0.0,42.948,0,0,4,2000,5,2010,9,2020,3,124,114
Ã˜ST FRIGG,0,0,21.37,0,0.0,0.07,9.29,0.0,0.0,0.0,0.0,0.0,0,0,5,1973,8,1987,7,1988,3,167,8
Ã…SGARD,200,57,331.09,192,41.52,17.11,423.988,5.9,32.41,6.46,0.0,50.584,154,7,10,1981,9,1996,2,2019,7,173,281
AASTA HANSTEEN,1,0,78.69,0,0.0,0.69,54.7,0.0,47.4,0.0,0.59,47.99,0,0,8,1997,4,2017,11,2018,11,247,12
