cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
Idemitsu Petroleum Norge AS,FRAM,1.10,1.70,0.18,0.00,3.13,31.12.2018,15.00000,1578840,441,24.01.2020
Idemitsu Petroleum Norge AS,FRAM H-NORD,0.03,0.00,0.00,0.00,0.03,31.12.2018,28.80000,23410947,441,24.01.2020
Idemitsu Petroleum Norge AS,KNARR,0.44,0.01,0.01,0.00,0.46,31.12.2018,25.00000,20460988,441,24.01.2020
Idemitsu Petroleum Norge AS,SNORRE,8.81,0.00,0.00,0.00,8.81,31.12.2018,9.60000,43718,441,24.01.2020
Idemitsu Petroleum Norge AS,STATFJORD ØST,0.01,0.00,0.00,0.00,0.01,31.12.2018,4.80000,43672,441,24.01.2020
Idemitsu Petroleum Norge AS,SYGNA,0.03,0.00,0.00,0.00,0.03,31.12.2018,4.32000,104718,441,24.01.2020
Idemitsu Petroleum Norge AS,TORDIS,0.42,0.05,0.02,0.00,0.50,31.12.2018,9.60000,43725,441,24.01.2020
Idemitsu Petroleum Norge AS,VEGA,0.10,0.42,0.15,0.00,0.79,31.12.2018,3.75000,4467595,441,24.01.2020
Idemitsu Petroleum Norge AS,VIGDIS,0.98,0.00,0.00,0.00,0.99,31.12.2018,9.60000,43732,441,24.01.2020
INEOS E&P Norge AS,ALVE,0.06,0.40,0.05,0.00,0.56,31.12.2018,15.00000,4444332,29805656,24.01.2020
INEOS E&P Norge AS,GYDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,34.00000,43492,29805656,24.01.2020
INEOS E&P Norge AS,MARULK,0.04,0.62,0.06,0.00,0.76,31.12.2018,30.00000,18212090,29805656,24.01.2020
INEOS E&P Norge AS,ORMEN LANGE,0.00,13.89,0.00,0.66,14.55,31.12.2018,14.02080,2762452,29805656,24.01.2020
INEOS E&P Norge AS,TAMBAR ØST,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.44000,4999528,29805656,24.01.2020
KUFPEC Norway AS,GINA KROG,3.36,3.61,0.62,0.00,8.15,31.12.2018,30.00000,23384544,23750622,24.01.2020
KUFPEC Norway AS,GUNGNE,0.01,0.06,0.01,0.00,0.08,31.12.2018,10.00000,43464,23750622,24.01.2020
KUFPEC Norway AS,GYDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43492,23750622,24.01.2020
KUFPEC Norway AS,SLEIPNER VEST,0.21,0.98,0.07,0.00,1.33,31.12.2018,9.41120,43457,23750622,24.01.2020
KUFPEC Norway AS,SLEIPNER ØST,0.01,0.03,0.00,0.00,0.04,31.12.2018,10.00000,43478,23750622,24.01.2020
KUFPEC Norway AS,TAMBAR ØST,0.00,0.00,0.00,0.00,0.00,31.12.2018,0.80000,4999528,23750622,24.01.2020
KUFPEC Norway AS,UTGARD,0.17,0.19,0.05,0.00,0.46,31.12.2018,6.20000,28975098,23750622,24.01.2020
KUFPEC Norway AS,YME,1.02,0.00,0.00,0.00,1.02,31.12.2018,10.00000,43807,23750622,24.01.2020
LOTOS Exploration and Production Norge AS,ATLA,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,21106284,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,FRØY,0.00,0.00,0.00,0.00,0.00,31.12.2018,9.74000,43597,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,GUNGNE,0.02,0.08,0.01,0.00,0.12,31.12.2018,15.00000,43464,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,HEIMDAL,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43590,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,LILLE-FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43583,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,SKIRNE,0.01,0.07,0.00,0.00,0.08,31.12.2018,30.00000,2138816,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,SLEIPNER VEST,0.34,1.57,0.11,0.00,2.11,31.12.2018,15.00000,43457,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,SLEIPNER ØST,0.01,0.04,0.00,0.00,0.06,31.12.2018,15.00000,43478,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,UTGARD,0.47,0.53,0.15,0.00,1.28,31.12.2018,17.36000,28975098,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,VALE,0.10,0.14,0.00,0.00,0.23,31.12.2018,25.75700,1578893,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,YME,2.03,0.00,0.00,0.00,2.03,31.12.2018,20.00000,43807,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,ØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43576,5064434,24.01.2020
Lundin Norway AS,ALVHEIM,1.61,0.77,0.00,0.00,2.38,31.12.2018,15.00000,2845712,2767314,24.01.2020
Lundin Norway AS,BRYNHILD,0.00,0.00,0.00,0.00,0.00,31.12.2018,51.00000,21123063,2767314,24.01.2020
Lundin Norway AS,BØYLA,0.12,0.00,0.00,0.00,0.12,31.12.2018,15.00000,22492497,2767314,24.01.2020
Lundin Norway AS,EDVARD GRIEG,16.35,1.51,0.45,0.00,18.71,31.12.2018,65.00000,21675433,2767314,24.01.2020
Lundin Norway AS,GAUPE,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,18161341,2767314,24.01.2020
Lundin Norway AS,IVAR AASEN,0.25,0.04,0.01,0.00,0.31,31.12.2018,1.38500,23384520,2767314,24.01.2020
Lundin Norway AS,JOHAN SVERDRUP,81.32,2.05,0.90,0.00,85.07,31.12.2018,20.00000,26376286,2767314,24.01.2020
Lundin Norway AS,SOLVEIG,4.54,0.94,0.27,0.00,5.99,31.12.2018,65.00000,34833011,2767314,24.01.2020
Lundin Norway AS,VOLUND,0.90,0.18,0.00,0.00,1.09,31.12.2018,35.00000,4380167,2767314,24.01.2020
Mime Petroleum AS,BALDER,1.46,0.00,0.00,0.00,1.47,31.12.2018,10.00000,43562,29491564,24.01.2020
Mime Petroleum AS,JOTUN,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,43604,29491564,24.01.2020
Mime Petroleum AS,RINGHORNE ØST,0.30,0.00,0.00,0.00,0.30,31.12.2018,7.40000,3505505,29491564,24.01.2020
Neptune Energy Norge AS,BAUGE,1.00,0.24,0.12,0.00,1.46,31.12.2018,12.50000,29446221,31123361,24.01.2020
Neptune Energy Norge AS,BRAGE,0.16,0.03,0.01,0.00,0.21,31.12.2018,4.44240,43651,31123361,24.01.2020
Neptune Energy Norge AS,BYRDING,0.12,0.10,0.01,0.00,0.24,31.12.2018,15.00000,28975067,31123361,24.01.2020
Neptune Energy Norge AS,DRAUGEN,0.20,0.00,0.01,0.00,0.21,31.12.2018,7.56000,43758,31123361,24.01.2020
Neptune Energy Norge AS,DUVA,1.11,2.52,0.31,0.00,4.21,31.12.2018,30.00000,34833026,31123361,24.01.2020
Neptune Energy Norge AS,FENJA,3.27,1.01,0.17,0.00,4.61,31.12.2018,30.00000,31164879,31123361,24.01.2020
Neptune Energy Norge AS,FRAM,1.10,1.70,0.18,0.00,3.13,31.12.2018,15.00000,1578840,31123361,24.01.2020
Neptune Energy Norge AS,FRAM H-NORD,0.01,0.00,0.00,0.00,0.01,31.12.2018,10.80000,23410947,31123361,24.01.2020
Neptune Energy Norge AS,GJØA,0.35,3.13,0.71,0.00,4.81,31.12.2018,30.00000,4467574,31123361,24.01.2020
Neptune Energy Norge AS,GUDRUN,1.89,1.96,0.19,0.00,4.20,31.12.2018,25.00000,18116481,31123361,24.01.2020
Neptune Energy Norge AS,HYME,0.16,0.07,0.03,0.00,0.28,31.12.2018,12.50000,20474183,31123361,24.01.2020
Neptune Energy Norge AS,IVAR AASEN,0.56,0.09,0.01,0.00,0.67,31.12.2018,3.02300,23384520,31123361,24.01.2020
Neptune Energy Norge AS,NJORD,1.09,3.03,0.86,0.00,5.75,31.12.2018,22.50000,43751,31123361,24.01.2020
Neptune Energy Norge AS,SNØHVIT,0.00,18.66,0.67,1.95,21.89,31.12.2018,12.00000,2053062,31123361,24.01.2020
Neptune Energy Norge AS,VEGA,0.10,0.42,0.15,0.00,0.79,31.12.2018,3.75000,4467595,31123361,24.01.2020
OKEA ASA,DRAUGEN,1.17,0.00,0.04,0.00,1.24,31.12.2018,44.56000,43758,34925006,24.01.2020
OKEA ASA,GJØA,0.14,1.25,0.28,0.00,1.93,31.12.2018,12.00000,4467574,34925006,24.01.2020
OKEA ASA,IVAR AASEN,0.10,0.02,0.00,0.00,0.12,31.12.2018,0.55400,23384520,34925006,24.01.2020
OKEA ASA,YME,1.53,0.00,0.00,0.00,1.53,31.12.2018,15.00000,43807,34925006,24.01.2020
OMV (Norge) AS,EDVARD GRIEG,5.03,0.46,0.14,0.00,5.76,31.12.2018,20.00000,21675433,4460594,24.01.2020
OMV (Norge) AS,GLITNE,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,1272071,4460594,24.01.2020
OMV (Norge) AS,GUDRUN,1.82,1.88,0.18,0.00,4.04,31.12.2018,24.00000,18116481,4460594,24.01.2020
OMV (Norge) AS,GULLFAKS,3.09,0.00,0.00,0.00,3.09,31.12.2018,19.00000,43686,4460594,24.01.2020
OMV (Norge) AS,GULLFAKS SØR,1.79,4.94,0.66,0.00,7.98,31.12.2018,19.00000,43699,4460594,24.01.2020
OMV (Norge) AS,SOLVEIG,1.40,0.29,0.08,0.00,1.84,31.12.2018,20.00000,34833011,4460594,24.01.2020
OMV (Norge) AS,AASTA HANSTEEN,0.00,8.15,0.00,0.09,8.25,31.12.2018,15.00000,23395946,4460594,24.01.2020
ONE-Dyas Norge AS,NOVA,0.91,0.21,0.07,0.00,1.25,31.12.2018,10.00000,33197696,34764453,24.01.2020
Pandion Energy AS,DUVA,0.37,0.84,0.10,0.00,1.40,31.12.2018,10.00000,34833026,29028767,24.01.2020
Pandion Energy AS,HOD,0.05,0.01,0.00,0.00,0.06,31.12.2018,10.00000,43485,29028767,24.01.2020
Pandion Energy AS,VALHALL,4.14,0.71,0.09,0.00,5.02,31.12.2018,10.00000,43548,29028767,24.01.2020
Petoro AS,ALBUSKJELL,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43437,1626839,24.01.2020
Petoro AS,ATLA,0.00,0.00,0.00,0.00,0.00,31.12.2018,30.00000,21106284,1626839,24.01.2020
Petoro AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43785,1626839,24.01.2020
Petoro AS,DRAUGEN,1.25,0.00,0.04,0.00,1.34,31.12.2018,47.88000,43758,1626839,24.01.2020
Petoro AS,DVALIN,0.00,6.28,0.08,0.14,6.58,31.12.2018,35.00000,29393934,1626839,24.01.2020
Petoro AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43541,1626839,24.01.2020
Petoro AS,EKOFISK,3.67,0.55,0.07,0.00,4.35,31.12.2018,5.00000,43506,1626839,24.01.2020
Petoro AS,ELDFISK,1.15,0.13,0.02,0.00,1.32,31.12.2018,5.00000,43527,1626839,24.01.2020
Petoro AS,EMBLA,0.04,0.04,0.00,0.00,0.08,31.12.2018,5.00000,43534,1626839,24.01.2020
Petoro AS,FRAM H-NORD,0.01,0.00,0.00,0.00,0.01,31.12.2018,11.20000,23410947,1626839,24.01.2020
Petoro AS,GIMLE,0.00,0.01,0.00,0.00,0.01,31.12.2018,24.18630,4005142,1626839,24.01.2020
Petoro AS,GJØA,0.35,3.13,0.71,0.00,4.81,31.12.2018,30.00000,4467574,1626839,24.01.2020
Petoro AS,GLITNE,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,1272071,1626839,24.01.2020
Petoro AS,GRANE,8.67,0.00,0.00,0.00,8.67,31.12.2018,28.90500,1035937,1626839,24.01.2020
Petoro AS,GULLFAKS,4.88,0.00,0.00,0.00,4.88,31.12.2018,30.00000,43686,1626839,24.01.2020
Petoro AS,GULLFAKS SØR,2.82,7.80,1.04,0.00,12.60,31.12.2018,30.00000,43699,1626839,24.01.2020
Petoro AS,HEIDRUN,20.66,14.74,0.77,0.00,36.86,31.12.2018,57.79339,43771,1626839,24.01.2020
Petoro AS,HEIMDAL,0.00,0.01,0.00,0.00,0.01,31.12.2018,20.00000,43590,1626839,24.01.2020
Petoro AS,JETTE,0.00,0.00,0.00,0.00,0.00,31.12.2018,30.00000,21613906,1626839,24.01.2020
Petoro AS,JOHAN CASTBERG,17.78,0.00,0.00,0.00,17.78,31.12.2018,20.00000,32017325,1626839,24.01.2020
Petoro AS,JOHAN SVERDRUP,70.58,1.78,0.78,0.00,73.84,31.12.2018,17.36000,26376286,1626839,24.01.2020
Petoro AS,KRISTIN,0.32,0.68,0.15,0.00,1.30,31.12.2018,19.57700,1854729,1626839,24.01.2020
Petoro AS,KVITEBJØRN,1.40,7.00,0.71,0.00,9.75,31.12.2018,30.00000,1036101,1626839,24.01.2020
Petoro AS,MARIA,2.05,0.17,0.10,0.00,2.41,31.12.2018,30.00000,26465170,1626839,24.01.2020
Petoro AS,MARTIN LINGE,3.26,7.72,0.65,0.00,12.22,31.12.2018,30.00000,21675447,1626839,24.01.2020
Petoro AS,MIME,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43792,1626839,24.01.2020
Petoro AS,NORNE,1.64,2.89,0.39,0.00,5.28,31.12.2018,54.00000,43778,1626839,24.01.2020
Petoro AS,ORMEN LANGE,0.00,36.14,0.00,1.72,37.86,31.12.2018,36.48500,2762452,1626839,24.01.2020
Petoro AS,OSEBERG,5.89,22.15,1.21,0.00,30.32,31.12.2018,33.60000,43625,1626839,24.01.2020
Petoro AS,OSEBERG SØR,4.03,3.76,0.34,0.00,8.44,31.12.2018,33.60000,43645,1626839,24.01.2020
Petoro AS,OSEBERG ØST,0.94,0.01,0.02,0.00,0.98,31.12.2018,33.60000,43639,1626839,24.01.2020
Petoro AS,REV,0.00,0.00,0.00,0.00,0.01,31.12.2018,30.00000,4467554,1626839,24.01.2020
Petoro AS,SINDRE,0.00,0.01,0.00,0.00,0.01,31.12.2018,27.09000,29401178,1626839,24.01.2020
Petoro AS,SKIRNE,0.01,0.07,0.00,0.00,0.08,31.12.2018,30.00000,2138816,1626839,24.01.2020
Petoro AS,SKULD,0.40,0.00,0.00,0.00,0.40,31.12.2018,24.54546,21350124,1626839,24.01.2020
Petoro AS,SNORRE,27.53,0.00,0.00,0.00,27.53,31.12.2018,30.00000,43718,1626839,24.01.2020
Petoro AS,SNØHVIT,0.00,46.66,1.68,4.87,54.71,31.12.2018,30.00000,2053062,1626839,24.01.2020
Petoro AS,STATFJORD NORD,0.74,0.04,0.01,0.00,0.81,31.12.2018,30.00000,43679,1626839,24.01.2020
Petoro AS,STATFJORD ØST,0.06,0.01,0.00,0.00,0.07,31.12.2018,30.00000,43672,1626839,24.01.2020
Petoro AS,SVALIN,1.17,0.00,0.00,0.00,1.17,31.12.2018,30.00000,22507971,1626839,24.01.2020
Petoro AS,SYGNA,0.21,0.00,0.00,0.00,0.21,31.12.2018,30.00000,104718,1626839,24.01.2020
Petoro AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,3.68744,43520,1626839,24.01.2020
Petoro AS,TORDIS,1.31,0.14,0.06,0.00,1.56,31.12.2018,30.00000,43725,1626839,24.01.2020
Petoro AS,TROLL,7.90,439.53,7.32,0.00,461.35,31.12.2018,56.00000,46437,1626839,24.01.2020
Petoro AS,TUNE,0.01,0.10,0.00,0.00,0.11,31.12.2018,40.00000,853376,1626839,24.01.2020
Petoro AS,URD,0.49,0.00,0.00,0.00,0.49,31.12.2018,24.54546,2834734,1626839,24.01.2020
Petoro AS,VALEMON,0.14,1.33,0.01,0.00,1.50,31.12.2018,30.00000,20460969,1626839,24.01.2020
Petoro AS,VEGA,0.79,3.32,1.18,0.00,6.35,31.12.2018,30.00000,4467595,1626839,24.01.2020
Petoro AS,VESLEFRIKK,0.50,0.30,0.09,0.00,0.96,31.12.2018,37.00000,43618,1626839,24.01.2020
Petoro AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43513,1626839,24.01.2020
Petoro AS,VIGDIS,3.08,0.00,0.01,0.00,3.09,31.12.2018,30.00000,43732,1626839,24.01.2020
Petoro AS,VISUND,2.18,11.92,1.46,0.00,16.88,31.12.2018,30.00000,43745,1626839,24.01.2020
Petoro AS,VISUND SØR,0.08,0.49,0.07,0.00,0.71,31.12.2018,30.00000,20461008,1626839,24.01.2020
Petoro AS,YTTERGRYTA,0.00,0.00,0.00,0.00,0.00,31.12.2018,19.95000,4973114,1626839,24.01.2020
Petoro AS,ÅSGARD,2.61,14.30,2.81,0.00,22.24,31.12.2018,35.69000,43765,1626839,24.01.2020
Petrolia NOCO AS,FLYNDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,0.82500,24635035,28518657,24.01.2020
PGNiG Upstream Norway AS,DUVA,0.74,1.68,0.21,0.00,2.81,31.12.2018,20.00000,34833026,29394105,24.01.2020
PGNiG Upstream Norway AS,GINA KROG,0.90,0.96,0.17,0.00,2.17,31.12.2018,8.00000,23384544,29394105,24.01.2020
PGNiG Upstream Norway AS,MORVIN,0.07,0.05,0.01,0.00,0.15,31.12.2018,6.00000,4966234,29394105,24.01.2020
PGNiG Upstream Norway AS,SKARV,0.72,1.98,0.22,0.00,3.12,31.12.2018,11.91750,4704482,29394105,24.01.2020
PGNiG Upstream Norway AS,SKOGUL,0.47,0.05,0.00,0.00,0.52,31.12.2018,35.00000,31164600,29394105,24.01.2020
PGNiG Upstream Norway AS,TOMMELITEN GAMMA,0.00,0.00,0.00,0.00,0.00,31.12.2018,42.38000,43444,29394105,24.01.2020
PGNiG Upstream Norway AS,VALE,0.09,0.13,0.00,0.00,0.22,31.12.2018,24.24300,1578893,29394105,24.01.2020
PGNiG Upstream Norway AS,VILJE,0.58,0.00,0.00,0.00,0.58,31.12.2018,24.24300,3392471,29394105,24.01.2020
PGNiG Upstream Norway AS,ÆRFUGL,0.69,3.59,0.40,0.00,5.03,31.12.2018,11.91750,33310197,29394105,24.01.2020
Repsol Norge AS,BLANE,0.12,0.00,0.00,0.00,0.12,31.12.2018,18.00000,3437650,27052812,24.01.2020
Repsol Norge AS,BRAGE,1.21,0.25,0.08,0.00,1.62,31.12.2018,33.84340,43651,27052812,24.01.2020
Repsol Norge AS,GUDRUN,1.14,1.18,0.11,0.00,2.52,31.12.2018,15.00000,18116481,27052812,24.01.2020
Repsol Norge AS,GYDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,61.00000,43492,27052812,24.01.2020
Repsol Norge AS,MIKKEL,0.14,0.77,0.20,0.00,1.27,31.12.2018,7.65000,1630514,27052812,24.01.2020
Repsol Norge AS,REV,0.01,0.01,0.00,0.00,0.01,31.12.2018,70.00000,4467554,27052812,24.01.2020
Repsol Norge AS,TAMBAR ØST,0.01,0.00,0.00,0.00,0.01,31.12.2018,9.76000,4999528,27052812,24.01.2020
Repsol Norge AS,VESLEFRIKK,0.37,0.22,0.06,0.00,0.70,31.12.2018,27.00000,43618,27052812,24.01.2020
Repsol Norge AS,VISUND,0.56,3.06,0.37,0.00,4.33,31.12.2018,7.70000,43745,27052812,24.01.2020
Repsol Norge AS,VISUND SØR,0.02,0.13,0.02,0.00,0.18,31.12.2018,7.70000,20461008,27052812,24.01.2020
Repsol Norge AS,YME,5.59,0.00,0.00,0.00,5.59,31.12.2018,55.00000,43807,27052812,24.01.2020

